Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Besse-sur-Issole,France,43.35,6.1833,28.34,Clear sky,4.39,✅ Safe,2025-08-23 20:13:44
Besson,France,46.4667,3.2667,24.96,Overcast clouds,2.49,✅ Safe,2025-08-23 20:13:46
Bethune,France,50.5333,2.6333,20.88,Overcast clouds,4.7,✅ Safe,2025-08-23 20:13:48
Betton,France,48.1667,-1.6333,25.22,Broken clouds,1.81,✅ Safe,2025-08-23 20:13:50
Biaches,France,49.9167,2.9167,20.8,Overcast clouds,4.03,✅ Safe,2025-08-23 20:13:52
Biarritz,France,43.4833,-1.55,24.79,Clear sky,4.41,✅ Safe,2025-08-23 20:13:54
Bidart,France,43.4333,-1.5667,26.85,Clear sky,4.2,✅ Safe,2025-08-23 20:13:56
Billy-le-Grand,France,49.1,4.2333,20.22,Overcast clouds,4.22,✅ Safe,2025-08-23 20:13:57
Bissert,France,48.9333,7.0333,19.55,Overcast clouds,4.12,✅ Safe,2025-08-23 20:13:59
Bisseuil,France,49.05,4.0833,21.02,Overcast clouds,4.22,✅ Safe,2025-08-23 20:14:01
Blagny-sur-Vingeanne,France,47.4333,5.3667,22.62,Overcast clouds,3.38,✅ Safe,2025-08-23 20:14:03
Blaye,France,45.1333,-0.6667,30.83,Few clouds,3.26,✅ Safe,2025-08-23 20:14:05
Blenod-les-Pont-a-Mousson,France,48.8833,6.05,18.47,Overcast clouds,3.81,✅ Safe,2025-08-23 20:14:07
Blienschwiller,France,48.3333,7.4167,20.52,Overcast clouds,2.75,✅ Safe,2025-08-23 20:14:09
Blomac,France,43.2,2.6,31.49,Clear sky,4.99,✅ Safe,2025-08-23 20:14:10
Bogy,France,45.2833,4.7667,24.9,Scattered clouds,7.31,⚠ Moderate,2025-08-23 20:14:12
Bohas,France,46.1667,5.4,24.37,Overcast clouds,4.38,✅ Safe,2025-08-23 20:14:14
Boissettes,France,48.5167,2.6167,23.83,Scattered clouds,3.89,✅ Safe,2025-08-23 20:14:16
Bollene,France,44.2833,4.7333,28.46,Clear sky,9.38,⚠ Moderate,2025-08-23 20:14:17
Bonifacio,France,41.3833,9.1667,24.29,Clear sky,9.89,⚠ Moderate,2025-08-23 20:14:19
Bonneil,France,49.0,3.35,21.74,Overcast clouds,4.87,✅ Safe,2025-08-23 20:14:21
Bonnencontre,France,47.0833,5.15,23.63,Overcast clouds,4.41,✅ Safe,2025-08-23 20:14:23
Bonneuil-sur-Marne,France,48.7667,2.4833,24.02,Broken clouds,2.58,✅ Safe,2025-08-23 20:14:24
Bonsecours,France,49.4333,1.1333,22.93,Overcast clouds,3.95,✅ Safe,2025-08-23 20:14:26
Bordeaux,France,44.8333,-0.5833,30.71,Clear sky,2.15,✅ Safe,2025-08-23 20:14:28
Bordeaux-Bruges,France,44.8833,-0.6167,30.62,Clear sky,2.05,✅ Safe,2025-08-23 20:14:30
Bossugan,France,44.7833,-0.5,30.96,Clear sky,2.42,✅ Safe,2025-08-23 20:14:32
Botans,France,47.6,6.85,21.66,Overcast clouds,0.97,✅ Safe,2025-08-23 20:14:34
Bouc-Bel-Air,France,43.45,5.4167,28.99,Clear sky,6.16,⚠ Moderate,2025-08-23 20:14:36
Bouchain,France,50.2833,3.3167,20.62,Overcast clouds,3.99,✅ Safe,2025-08-23 20:14:38
Boucharey,France,45.5,4.7833,24.54,Broken clouds,6.69,⚠ Moderate,2025-08-23 20:14:40
Bouchet,France,44.3,4.8667,27.93,Clear sky,10.0,⚡ Dangerous,2025-08-23 20:14:42
Bougival,France,48.8667,2.1333,23.32,Broken clouds,1.84,✅ Safe,2025-08-23 20:14:43
Bouguenais,France,47.1833,-1.6167,26.71,Overcast clouds,4.01,✅ Safe,2025-08-23 20:14:45
Boujan-sur-Libron,France,43.3667,3.25,31.15,Clear sky,0.8,✅ Safe,2025-08-23 20:14:47
Bouliac,France,44.8167,-0.5167,30.95,Clear sky,2.39,✅ Safe,2025-08-23 20:14:48
