Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Bech-Kleinmacher,Luxembourg,49.5333,6.35,18.82,Overcast clouds,4.1,✅ Safe,2025-08-23 21:59:09
Esch-sur-Alzette,Luxembourg,49.5,5.9833,18.15,Overcast clouds,4.33,✅ Safe,2025-08-23 21:59:11
Grundhof,Luxembourg,49.8333,6.3167,17.53,Overcast clouds,3.65,✅ Safe,2025-08-23 21:59:13
Huldange,Luxembourg,50.15,6.0,16.55,Overcast clouds,2.86,✅ Safe,2025-08-23 21:59:15
Mertert,Luxembourg,49.7,6.4833,18.52,Overcast clouds,4.12,✅ Safe,2025-08-23 21:59:17
Wormeldange,Luxembourg,49.6,6.4,18.51,Overcast clouds,4.08,✅ Safe,2025-08-23 21:59:19
