Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Lustin,Belgium,50.3833,4.9,17.2,Overcast clouds,1.42,✅ Safe,2025-08-23 18:34:55
Maransart,Belgium,50.6667,4.45,18.19,Overcast clouds,4.03,✅ Safe,2025-08-23 18:34:57
Marche-les-Dames,Belgium,50.4833,4.9667,17.39,Overcast clouds,0.9,✅ Safe,2025-08-23 18:34:59
Maubray,Belgium,50.55,3.5,19.55,Overcast clouds,3.67,✅ Safe,2025-08-23 18:35:01
Meigem,Belgium,51.0167,3.5333,19.98,Scattered clouds,6.23,⚠ Moderate,2025-08-23 18:35:03
Meilegem,Belgium,50.9,3.7,19.7,Broken clouds,5.13,⚠ Moderate,2025-08-23 18:35:04
Melsen,Belgium,50.9667,3.7,19.76,Broken clouds,5.15,⚠ Moderate,2025-08-23 18:35:05
Mespelare,Belgium,51.0,4.0667,19.38,Broken clouds,5.19,⚠ Moderate,2025-08-23 18:35:07
Moerbrugge,Belgium,51.1667,3.2667,20.24,Scattered clouds,6.22,⚠ Moderate,2025-08-23 18:35:09
Moerzeke,Belgium,51.0667,4.15,19.38,Broken clouds,4.73,✅ Safe,2025-08-23 18:35:10
Moignelee,Belgium,50.45,4.5833,17.46,Overcast clouds,1.75,✅ Safe,2025-08-23 18:35:12
Mol,Belgium,51.1833,5.1,18.9,Few clouds,3.99,✅ Safe,2025-08-23 18:35:13
Mons,Belgium,50.45,3.9333,19.11,Overcast clouds,3.08,✅ Safe,2025-08-23 18:35:15
Mornimont,Belgium,50.45,4.7,17.9,Overcast clouds,1.32,✅ Safe,2025-08-23 18:35:16
Muizen,Belgium,51.0167,4.5167,19.25,Broken clouds,3.5,✅ Safe,2025-08-23 18:35:17
Nameche,Belgium,50.4667,5.0,17.98,Overcast clouds,0.95,✅ Safe,2025-08-23 18:35:19
Neerharen,Belgium,50.9167,5.6833,18.31,Broken clouds,1.79,✅ Safe,2025-08-23 18:35:20
Neffe,Belgium,50.2333,4.9167,17.25,Overcast clouds,2.61,✅ Safe,2025-08-23 18:35:22
Neuville-sous-Huy,Belgium,50.5333,5.2833,18.11,Overcast clouds,1.53,✅ Safe,2025-08-23 18:35:23
Ninove,Belgium,50.8333,4.0167,19.18,Overcast clouds,4.77,✅ Safe,2025-08-23 18:35:24
Oeselgem,Belgium,50.9333,3.4333,20.11,Broken clouds,6.35,⚠ Moderate,2025-08-23 18:35:26
Okegem,Belgium,50.85,4.05,19.18,Overcast clouds,4.77,✅ Safe,2025-08-23 18:35:27
Onkerzele,Belgium,50.7833,3.9,18.99,Overcast clouds,4.2,✅ Safe,2025-08-23 18:35:29
Ooigem,Belgium,50.8833,3.3333,20.15,Broken clouds,5.93,⚠ Moderate,2025-08-23 18:35:30
Oostende (Ostend),Belgium,51.2,2.9167,20.58,Few clouds,6.25,⚠ Moderate,2025-08-23 18:35:32
Oosterlo,Belgium,51.1167,4.9667,19.1,Broken clouds,3.96,✅ Safe,2025-08-23 18:35:33
Oostkamp,Belgium,51.15,3.2333,20.24,Scattered clouds,6.22,⚠ Moderate,2025-08-23 18:35:35
Oostkerke,Belgium,51.2833,3.2833,20.05,Few clouds,5.77,⚠ Moderate,2025-08-23 18:35:37
