Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Chiavari,Italy,44.3167,9.3167,25.41,Few clouds,1.66,✅ Safe,2025-08-23 21:51:49
Chioggia,Italy,45.2333,12.2833,24.81,Few clouds,1.47,✅ Safe,2025-08-23 21:51:51
Ciro Marina,Italy,39.3667,17.1333,26.13,Few clouds,6.53,⚠ Moderate,2025-08-23 21:51:53
Civitavecchia,Italy,42.1,11.8,26.21,Clear sky,4.35,✅ Safe,2025-08-23 21:51:55
Copanello,Italy,38.7667,16.55,26.45,Clear sky,7.23,⚠ Moderate,2025-08-23 21:51:56
Corigliano Calabro,Italy,39.6,16.5167,27.34,Clear sky,1.39,✅ Safe,2025-08-23 21:51:58
Crotone,Italy,39.0833,17.1333,28.55,Few clouds,0.77,✅ Safe,2025-08-23 21:52:00
Cupra Marittima,Italy,43.0167,13.85,22.57,Heavy intensity rain,1.32,✅ Safe,2025-08-23 21:52:02
Diamante,Italy,39.6833,15.8167,24.23,Clear sky,1.36,✅ Safe,2025-08-23 21:52:04
Duino,Italy,45.7667,13.5833,24.54,Scattered clouds,1.05,✅ Safe,2025-08-23 21:52:06
Fano,Italy,43.8333,13.0167,23.2,Scattered clouds,2.81,✅ Safe,2025-08-23 21:52:08
Favignana,Italy,37.9333,12.3333,24.18,Clear sky,4.42,✅ Safe,2025-08-23 21:52:10
Finale Ligure,Italy,44.1667,8.3333,27.29,Few clouds,1.77,✅ Safe,2025-08-23 21:52:12
Fiumicino,Italy,41.7667,12.2333,27.01,Clear sky,5.29,⚠ Moderate,2025-08-23 21:52:14
Foce Varano,Italy,41.9167,15.8,23.87,Overcast clouds,0.72,✅ Safe,2025-08-23 21:52:16
Follonica,Italy,42.9167,10.75,25.63,Clear sky,3.05,✅ Safe,2025-08-23 21:52:18
Forio,Italy,40.7333,13.85,25.43,Clear sky,3.34,✅ Safe,2025-08-23 21:52:20
Formia,Italy,41.25,13.6167,25.72,Few clouds,3.52,✅ Safe,2025-08-23 21:52:22
Fregene,Italy,41.85,12.2,26.91,Clear sky,5.07,⚠ Moderate,2025-08-23 21:52:24
Fusina,Italy,45.4167,12.2333,24.86,Few clouds,2.02,✅ Safe,2025-08-23 21:52:26
Gabicce Mare,Italy,43.9667,12.7667,21.95,Scattered clouds,5.13,⚠ Moderate,2025-08-23 21:52:28
Gaeta,Italy,41.2,13.5833,25.36,Clear sky,3.71,✅ Safe,2025-08-23 21:52:30
Gallipoli,Italy,40.05,17.9833,26.47,Clear sky,4.35,✅ Safe,2025-08-23 21:52:32
Gela,Italy,37.0667,14.25,27.45,Clear sky,10.96,⚡ Dangerous,2025-08-23 21:52:34
Genova,Italy,44.4167,8.95,26.88,Few clouds,2.06,✅ Safe,2025-08-23 21:52:36
Giardini Naxos,Italy,37.8167,15.2667,28.68,Clear sky,1.25,✅ Safe,2025-08-23 21:52:38
Gioia Tauro,Italy,38.4167,15.9,27.25,Light rain,5.27,⚠ Moderate,2025-08-23 21:52:39
Giovinazzo,Italy,41.1833,16.6667,25.13,Scattered clouds,2.61,✅ Safe,2025-08-23 21:52:41
Giulianova,Italy,42.75,13.9667,24.08,Light rain,3.11,✅ Safe,2025-08-23 21:52:43
Golfo Aranci,Italy,41.0,9.6167,27.72,Clear sky,6.37,⚠ Moderate,2025-08-23 21:52:45
Goro,Italy,44.85,12.3,24.76,Few clouds,3.02,✅ Safe,2025-08-23 21:52:47
