Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Mitterkirchen,Austria,48.1833,14.7,20.83,Overcast clouds,6.42,⚠ Moderate,2025-08-23 18:30:21
Morbisch am See,Austria,47.75,16.6667,19.89,Overcast clouds,9.0,⚠ Moderate,2025-08-23 18:30:23
Muthmannsdorf,Austria,47.8333,16.1,17.8,Overcast clouds,5.56,⚠ Moderate,2025-08-23 18:30:25
Neudegg,Austria,48.4833,15.8833,18.4,Overcast clouds,5.55,⚠ Moderate,2025-08-23 18:30:27
Neufelden,Austria,48.4833,13.9833,17.49,Overcast clouds,5.2,⚠ Moderate,2025-08-23 18:30:29
Neuhofen an der Ybbs,Austria,48.05,14.85,19.59,Overcast clouds,5.37,⚠ Moderate,2025-08-23 18:30:31
Nickelsdorf,Austria,47.9333,17.0667,19.46,Overcast clouds,7.23,⚠ Moderate,2025-08-23 18:30:33
Nuziders,Austria,47.1833,9.8,17.52,Overcast clouds,2.74,✅ Safe,2025-08-23 18:30:35
Oehling,Austria,48.1,14.8,19.87,Moderate rain,5.88,⚠ Moderate,2025-08-23 18:30:36
Oggau,Austria,47.8333,16.6667,19.89,Overcast clouds,8.82,⚠ Moderate,2025-08-23 18:30:38
Ottensheim,Austria,48.3333,14.1833,19.44,Overcast clouds,5.66,⚠ Moderate,2025-08-23 18:30:41
Persenbeug,Austria,48.1833,15.0667,19.4,Broken clouds,6.46,⚠ Moderate,2025-08-23 18:30:43
Petzenkirchen,Austria,48.1333,15.15,19.29,Overcast clouds,6.2,⚠ Moderate,2025-08-23 18:30:44
Podersdorf am See,Austria,47.85,16.8333,19.88,Overcast clouds,7.88,⚠ Moderate,2025-08-23 18:30:46
Prinzersdorf,Austria,48.2,15.5167,19.22,Overcast clouds,6.63,⚠ Moderate,2025-08-23 18:30:49
Radstadt,Austria,47.3833,13.45,14.24,Overcast clouds,2.54,✅ Safe,2025-08-23 18:30:51
Ranshofen,Austria,48.2333,13.0,19.03,Overcast clouds,4.4,✅ Safe,2025-08-23 18:30:52
Rietz,Austria,47.2833,11.05,18.97,Overcast clouds,2.58,✅ Safe,2025-08-23 18:30:55
Rohrau,Austria,48.0667,16.85,19.41,Overcast clouds,6.59,⚠ Moderate,2025-08-23 18:30:57
Ruhrsdorf,Austria,48.4,15.5,18.67,Overcast clouds,4.53,✅ Safe,2025-08-23 18:30:59
Sankt Aegidi,Austria,48.4833,13.75,17.31,Overcast clouds,4.52,✅ Safe,2025-08-23 18:31:00
Sankt Georgen bei Salzburg,Austria,47.9833,12.8833,18.73,Overcast clouds,2.85,✅ Safe,2025-08-23 18:31:02
Sankt Margarethen an der Raab,Austria,47.05,15.75,20.58,Overcast clouds,1.18,✅ Safe,2025-08-23 18:31:06
Sankt Stefan ob Stainz,Austria,46.9167,15.25,21.16,Broken clouds,1.78,✅ Safe,2025-08-23 18:31:07
Sankt Ulrich,Austria,48.6,16.7667,18.64,Overcast clouds,8.0,⚠ Moderate,2025-08-23 18:31:09
Sankt Veit im Muhlkreis,Austria,48.4667,14.15,16.62,Overcast clouds,5.46,⚠ Moderate,2025-08-23 18:31:12
Schonau im Muhlkreis,Austria,48.3833,14.7333,18.04,Overcast clouds,5.35,⚠ Moderate,2025-08-23 18:31:13
Schrattenthal,Austria,48.7,15.9,18.5,Broken clouds,6.77,⚠ Moderate,2025-08-23 18:31:15
Schutzen am Gebirge,Austria,47.85,16.6167,19.49,Overcast clouds,8.97,⚠ Moderate,2025-08-23 18:31:17
Senftenberg,Austria,48.4333,15.55,17.62,Overcast clouds,4.5,✅ Safe,2025-08-23 18:31:20
Spannberg,Austria,48.45,16.7333,18.62,Overcast clouds,7.91,⚠ Moderate,2025-08-23 18:31:22
Spitz,Austria,48.3667,15.4167,16.63,Overcast clouds,4.53,✅ Safe,2025-08-23 18:31:26
Steeg,Austria,47.6,13.6333,14.18,Overcast clouds,2.02,✅ Safe,2025-08-23 18:31:28
Steinberg,Austria,47.4833,16.4833,19.09,Overcast clouds,2.94,✅ Safe,2025-08-23 18:31:30
Steinhaus,Austria,48.1167,14.0167,19.02,Overcast clouds,5.75,⚠ Moderate,2025-08-23 18:31:33
Straden,Austria,46.8,15.8667,21.68,Overcast clouds,1.6,✅ Safe,2025-08-23 18:31:36
Tamsweg,Austria,47.1333,13.8,15.65,Broken clouds,4.35,✅ Safe,2025-08-23 18:31:38
Taufkirchen an der Pram,Austria,48.4167,13.5333,18.68,Overcast clouds,4.2,✅ Safe,2025-08-23 18:31:40
Terfens,Austria,47.3167,11.65,18.88,Overcast clouds,1.93,✅ Safe,2025-08-23 18:31:42
Theiss,Austria,48.3833,15.6833,19.27,Overcast clouds,4.33,✅ Safe,2025-08-23 18:31:44
Traismauer,Austria,48.3333,15.7333,19.22,Overcast clouds,4.29,✅ Safe,2025-08-23 18:31:46
Velden,Austria,46.6167,14.05,20.48,Light rain,0.85,✅ Safe,2025-08-23 18:31:48
Vordernberg,Austria,47.4667,15.0,16.59,Overcast clouds,3.2,✅ Safe,2025-08-23 18:31:51
Wallsee,Austria,48.1667,14.7167,20.72,Overcast clouds,6.35,⚠ Moderate,2025-08-23 18:31:54
Weinburg,Austria,48.1,15.5167,18.81,Overcast clouds,6.58,⚠ Moderate,2025-08-23 18:31:57
Weitendorf,Austria,46.8833,15.4667,21.64,Broken clouds,2.45,✅ Safe,2025-08-23 18:32:00
Wulkaprodersdorf,Austria,47.8,16.5,19.42,Overcast clouds,8.92,⚠ Moderate,2025-08-23 18:32:03
Zobing,Austria,48.4833,15.6833,18.76,Overcast clouds,5.04,⚠ Moderate,2025-08-23 18:32:05
Ebbs,Austria,47.63333,12.21667,18.81,Overcast clouds,1.62,✅ Safe,2025-08-23 18:32:07
Drasenhofen,Austria,48.7584649,16.6507933,17.96,Overcast clouds,7.26,⚠ Moderate,2025-08-23 18:32:08
Freudenau,Austria,48.183,16.433,19.36,Broken clouds,5.05,⚠ Moderate,2025-08-23 18:32:11
Oberneukirchen,Austria,48.462842,14.2237852,15.92,Overcast clouds,5.51,⚠ Moderate,2025-08-23 18:32:15
Schorfling,Austria,47.9456638,13.6048457,18.23,Overcast clouds,3.69,✅ Safe,2025-08-23 18:32:18
Regau,Austria,48.083,14.133,18.78,Overcast clouds,5.5,⚠ Moderate,2025-08-23 18:32:20
Gallbrunn,Austria,48.053,16.64653,19.01,Overcast clouds,6.65,⚠ Moderate,2025-08-23 18:32:23
