Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Puerto Madero,Mexico,14.7167,-92.4167,25.86,Light rain,2.73,✅ Safe,2025-08-23 17:36:46
Puerto Morelos,Mexico,20.8333,-86.8667,26.84,Scattered clouds,2.77,✅ Safe,2025-08-23 17:36:48
Puerto Vallarta,Mexico,20.6,-105.2167,24.26,Light rain,1.33,✅ Safe,2025-08-23 17:36:50
Punta Baja,Mexico,29.9667,-115.8167,19.96,Clear sky,3.57,✅ Safe,2025-08-23 17:36:52
Punta Venado,Mexico,20.5333,-87.15,26.68,Scattered clouds,2.29,✅ Safe,2025-08-23 17:36:53
Rabon Grande/Coatzacoalcos,Mexico,18.2167,-94.4,26.64,Overcast clouds,2.12,✅ Safe,2025-08-23 17:36:55
Rosarito Terminal,Mexico,32.3333,-117.1,20.34,Clear sky,1.23,✅ Safe,2025-08-23 17:36:57
Salina Cruz,Mexico,16.1667,-95.1833,25.48,Overcast clouds,2.52,✅ Safe,2025-08-23 17:36:59
San Miguel Xoxtla,Mexico,19.1833,-98.3,14.32,Overcast clouds,0.32,✅ Safe,2025-08-23 17:37:01
Santa Ana,Mexico,19.6339209,-99.9383091,11.41,Overcast clouds,0.23,✅ Safe,2025-08-23 17:37:03
Santa Cruz Tepexpan,Mexico,19.5667,-99.7,12.85,Overcast clouds,0.82,✅ Safe,2025-08-23 17:37:04
Santa Teresa,Mexico,22.4667,-104.7333,13.78,Light rain,1.48,✅ Safe,2025-08-23 17:37:06
Seybaplaya,Mexico,19.65,-90.7,24.85,Overcast clouds,4.05,✅ Safe,2025-08-23 17:37:07
Tamaulipas,Mexico,24.9,-107.5833,23.16,Overcast clouds,1.37,✅ Safe,2025-08-23 17:37:09
Tampico,Mexico,22.25,-97.8667,24.84,Broken clouds,1.78,✅ Safe,2025-08-23 17:37:10
Telixtlahuaca,Mexico,17.3,-96.9,15.1,Overcast clouds,0.69,✅ Safe,2025-08-23 17:37:12
Tenabo,Mexico,20.05,-90.2333,23.34,Broken clouds,1.09,✅ Safe,2025-08-23 17:37:14
Tepetlixpac,Mexico,19.0333,-98.8167,13.55,Overcast clouds,0.38,✅ Safe,2025-08-23 17:37:15
Tijuana,Mexico,32.5333,-117.0167,21.17,Clear sky,1.04,✅ Safe,2025-08-23 17:37:17
Tlalpan,Mexico,19.2833,-99.1667,15.23,Overcast clouds,0.45,✅ Safe,2025-08-23 17:37:19
Topolobampo,Mexico,25.6,-109.05,25.81,Broken clouds,2.11,✅ Safe,2025-08-23 17:37:20
Tuxpan,Mexico,20.95,-97.4,24.33,Moderate rain,1.48,✅ Safe,2025-08-23 17:37:22
Veracruz,Mexico,19.2,-96.0833,25.44,Overcast clouds,2.48,✅ Safe,2025-08-23 17:37:24
Villa Nicolas Romero,Mexico,19.6333,-99.3,14.49,Light rain,0.75,✅ Safe,2025-08-23 17:37:26
Xalostoc,Mexico,19.5167,-99.0833,15.08,Light rain,0.51,✅ Safe,2025-08-23 17:37:27
Xochimancas,Mexico,18.7833,-99.1,21.24,Overcast clouds,0.48,✅ Safe,2025-08-23 17:37:29
Zakapu,Mexico,19.8,-101.8,14.53,Overcast clouds,0.32,✅ Safe,2025-08-23 17:37:31
Zaragoza,Mexico,19.7667,-97.5333,12.41,Overcast clouds,1.4,✅ Safe,2025-08-23 17:37:33
Zihuatanejo,Mexico,17.6333,-101.55,25.71,Overcast clouds,1.93,✅ Safe,2025-08-23 17:37:35
Pajaritos,Mexico,18.117,-94.383,25.05,Overcast clouds,2.45,✅ Safe,2025-08-23 17:37:37
Puerto Libertad,Mexico,29.9,-112.667,30.82,Clear sky,5.52,⚠ Moderate,2025-08-23 17:37:38
San Lorenzo,Mexico,20.148333,-101.634722,16.16,Overcast clouds,1.18,✅ Safe,2025-08-23 17:37:40
Santa Rosalia,Mexico,18.4727799,-95.58417,23.36,Overcast clouds,0.79,✅ Safe,2025-08-23 17:37:42
Takuntah,Mexico,19.75,-91.7,28.63,Broken clouds,7.84,⚠ Moderate,2025-08-23 17:37:44
Tlajomulco de Zuniga,Mexico,20.4736865,-103.4479314,15.45,Light rain,0.84,✅ Safe,2025-08-23 17:37:45
Tiaxcala,Mexico,19.383,-98.25,12.03,Overcast clouds,0.57,✅ Safe,2025-08-23 17:37:47
