Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Aberdeen,Hong Kong,22.25,114.15,28.18,Moderate rain,9.33,⚠ Moderate,2025-08-23 16:31:09
Causeway Bay,Hong Kong,22.2833,114.1833,30.58,Moderate rain,8.78,⚠ Moderate,2025-08-23 16:31:11
Ha Kwai Chung,Hong Kong,22.3667,114.1167,27.44,Moderate rain,7.02,⚠ Moderate,2025-08-23 16:31:12
Kowloon,Hong Kong,22.3,114.1667,30.84,Moderate rain,8.84,⚠ Moderate,2025-08-23 16:31:14
Tsim Sha Tsui,Hong Kong,22.3,114.1667,30.84,Moderate rain,8.84,⚠ Moderate,2025-08-23 16:31:15
Wan Chai,Hong Kong,22.2833,114.1667,30.84,Moderate rain,8.84,⚠ Moderate,2025-08-23 16:31:17
Port of Hong Kong,Hong Kong,22.3,114.1666667,30.84,Moderate rain,8.84,⚠ Moderate,2025-08-23 16:31:19
