Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Oosthuizen,Netherlands,52.567,5.0,17.85,Overcast clouds,3.96,✅ Safe,2025-08-23 17:15:43
Oosterlittens,Netherlands,53.133,5.65,17.77,Overcast clouds,5.71,⚠ Moderate,2025-08-23 17:15:44
Oostermeer,Netherlands,53.167,6.05,17.68,Overcast clouds,5.79,⚠ Moderate,2025-08-23 17:15:46
Oudenrijn,Netherlands,52.083,5.067,18.11,Overcast clouds,2.86,✅ Safe,2025-08-23 17:15:48
Oterleek,Netherlands,52.633,4.833,17.74,Overcast clouds,4.15,✅ Safe,2025-08-23 17:15:49
Oud-Sabbinge,Netherlands,51.533,3.8,19.07,Broken clouds,5.04,⚠ Moderate,2025-08-23 17:15:51
Overschild,Netherlands,53.283,6.783,17.75,Overcast clouds,6.6,⚠ Moderate,2025-08-23 17:15:53
Overberg,Netherlands,52.033,5.5,17.69,Overcast clouds,4.19,✅ Safe,2025-08-23 17:15:55
Ossenzijl,Netherlands,52.8,5.917,17.91,Overcast clouds,4.86,✅ Safe,2025-08-23 17:15:56
Oud-Zuilen,Netherlands,52.133,5.067,18.12,Overcast clouds,2.75,✅ Safe,2025-08-23 17:15:58
Purmerend,Netherlands,52.5143815,4.9640611,17.88,Overcast clouds,3.7,✅ Safe,2025-08-23 17:16:00
Pieterzijl,Netherlands,53.283,6.267,17.68,Overcast clouds,6.16,⚠ Moderate,2025-08-23 17:16:01
Lisse,Netherlands,52.2579303,4.5574834,18.0,Overcast clouds,3.95,✅ Safe,2025-08-23 17:16:03
Raalte,Netherlands,52.3798566,6.2862366,17.84,Overcast clouds,4.91,✅ Safe,2025-08-23 17:16:05
Ried,Netherlands,51.517,5.017,17.91,Overcast clouds,4.04,✅ Safe,2025-08-23 17:16:07
Rheden,Netherlands,52.0057368,6.0279594,17.7,Overcast clouds,3.81,✅ Safe,2025-08-23 17:16:08
Ridderkerk,Netherlands,51.870426,4.601732,18.06,Overcast clouds,2.92,✅ Safe,2025-08-23 17:16:10
Rilland,Netherlands,51.417,4.183,18.59,Overcast clouds,4.04,✅ Safe,2025-08-23 17:16:12
Rozenburg,Netherlands,51.904422,4.2471328,18.27,Overcast clouds,3.56,✅ Safe,2025-08-23 17:16:14
Roosteren,Netherlands,51.083,5.817,17.9,Overcast clouds,3.88,✅ Safe,2025-08-23 17:16:15
Rijnsaterwoude,Netherlands,52.2,4.667,17.92,Overcast clouds,3.23,✅ Safe,2025-08-23 17:16:17
Rustenburg,Netherlands,52.633,4.883,17.74,Overcast clouds,4.09,✅ Safe,2025-08-23 17:16:19
Rutten,Netherlands,52.8,5.7,17.86,Overcast clouds,5.3,⚠ Moderate,2025-08-23 17:16:20
Sint Andries,Netherlands,51.8,5.35,17.91,Overcast clouds,4.03,✅ Safe,2025-08-23 17:16:22
Sijbrandahuis,Netherlands,53.317,5.967,17.62,Overcast clouds,6.18,⚠ Moderate,2025-08-23 17:16:24
Schagerbrug,Netherlands,52.8,4.767,17.75,Overcast clouds,4.95,✅ Safe,2025-08-23 17:16:26
Schiedam,Netherlands,51.9166,4.4,18.16,Overcast clouds,3.15,✅ Safe,2025-08-23 17:16:28
Standdaarbuiten,Netherlands,51.617,4.517,18.18,Overcast clouds,3.03,✅ Safe,2025-08-23 17:16:29
Stadsdam,Netherlands,52.083,5.05,18.06,Overcast clouds,2.8,✅ Safe,2025-08-23 17:16:31
Schildwolde,Netherlands,53.233,6.817,17.78,Overcast clouds,6.37,⚠ Moderate,2025-08-23 17:16:33
Schoonhoven,Netherlands,51.9525204,4.8432204,17.92,Overcast clouds,2.99,✅ Safe,2025-08-23 17:16:34
Schermerhorn,Netherlands,52.6,4.883,17.81,Overcast clouds,3.95,✅ Safe,2025-08-23 17:16:36
Slijkenburg,Netherlands,52.817,5.85,17.86,Overcast clouds,4.91,✅ Safe,2025-08-23 17:16:38
Stieltjeskanaal,Netherlands,52.683,6.833,17.77,Overcast clouds,5.66,⚠ Moderate,2025-08-23 17:16:39
Slikkendam,Netherlands,52.15,4.85,17.88,Overcast clouds,2.71,✅ Safe,2025-08-23 17:16:41
Schalkwijk,Netherlands,51.983,5.183,17.98,Overcast clouds,3.36,✅ Safe,2025-08-23 17:16:42
Slochteren,Netherlands,53.217,6.8,17.77,Overcast clouds,6.22,⚠ Moderate,2025-08-23 17:16:44
Sloten,Netherlands,52.9,5.65,17.81,Overcast clouds,5.31,⚠ Moderate,2025-08-23 17:16:46
Smilde,Netherlands,52.95,6.45,17.77,Overcast clouds,5.19,⚠ Moderate,2025-08-23 17:16:47
Sint Maartensvlotbrug,Netherlands,52.783,4.717,17.73,Overcast clouds,5.01,⚠ Moderate,2025-08-23 17:16:49
Scheemderzwaag,Netherlands,53.183,6.95,17.84,Light rain,6.49,⚠ Moderate,2025-08-23 17:16:51
Sint-Annaland,Netherlands,51.6,4.1,18.58,Overcast clouds,4.31,✅ Safe,2025-08-23 17:16:53
Stolpen,Netherlands,52.817,4.717,17.75,Overcast clouds,5.22,⚠ Moderate,2025-08-23 17:16:55
Spijkenisse,Netherlands,51.855845,4.299208,18.28,Overcast clouds,3.41,✅ Safe,2025-08-23 17:16:56
Stolpervlotbrug,Netherlands,52.8,4.717,17.76,Overcast clouds,5.11,⚠ Moderate,2025-08-23 17:16:58
Schouwerzijl,Netherlands,53.333,6.45,17.68,Overcast clouds,6.52,⚠ Moderate,2025-08-23 17:17:00
