Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Botinge,Lithuania,55.169438,23.881275,15.08,Overcast clouds,4.55,✅ Safe,2025-08-23 21:59:00
Malku ilankos juru uosto PVP/Klaipeda,Lithuania,55.7167,21.1167,13.93,Scattered clouds,10.46,⚡ Dangerous,2025-08-23 21:59:02
Molo juru uosto PVP/Klaipeda,Lithuania,55.7167,21.1,13.93,Scattered clouds,10.46,⚡ Dangerous,2025-08-23 21:59:04
Pilies juru uosto PVP/Klaipeda,Lithuania,55.7167,21.0833,13.8,Scattered clouds,10.8,⚡ Dangerous,2025-08-23 21:59:05
Klaipeda,Lithuania,55.7032948,21.1442795,13.98,Scattered clouds,10.18,⚡ Dangerous,2025-08-23 21:59:07
