Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Larena,Philippines,9.25,123.583,27.71,Overcast clouds,2.69,✅ Safe,2025-08-23 16:53:08
Manicani,Philippines,11.0,125.65,27.22,Overcast clouds,4.49,✅ Safe,2025-08-23 16:53:09
Manila North Harbour,Philippines,14.6163986,120.9584279,27.24,Overcast clouds,1.24,✅ Safe,2025-08-23 16:53:11
Manila South Harbour,Philippines,14.5833333,120.95,27.3,Overcast clouds,1.8,✅ Safe,2025-08-23 16:53:12
Malatapay,Philippines,9.55,123.15,27.32,Overcast clouds,2.74,✅ Safe,2025-08-23 16:53:14
Batangas,Philippines,13.75,121.05,27.0,Overcast clouds,2.35,✅ Safe,2025-08-23 16:53:15
Odiongan,Philippines,12.4,121.983,27.35,Overcast clouds,4.46,✅ Safe,2025-08-23 16:53:17
Oroquieta,Philippines,8.483,123.8,24.62,Overcast clouds,2.66,✅ Safe,2025-08-23 16:53:18
Panabo,Philippines,7.3,125.683,24.8,Moderate rain,2.08,✅ Safe,2025-08-23 16:53:20
Puerto Galera,Philippines,13.5,120.933,27.2,Overcast clouds,1.78,✅ Safe,2025-08-23 16:53:21
Pagbilao,Philippines,13.967,121.683,25.51,Overcast clouds,0.67,✅ Safe,2025-08-23 16:53:22
Romblon,Philippines,12.567,122.267,28.21,Overcast clouds,4.98,✅ Safe,2025-08-23 16:53:24
Subic Bay,Philippines,14.7910576,120.2397336,26.39,Overcast clouds,2.73,✅ Safe,2025-08-23 16:53:25
Salomague,Philippines,17.783,120.417,27.13,Overcast clouds,1.84,✅ Safe,2025-08-23 16:53:27
Tubigon,Philippines,9.95,123.967,26.85,Overcast clouds,1.46,✅ Safe,2025-08-23 16:53:28
