Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Kletsk,Belarus,53.05,26.6167,16.63,Overcast clouds,3.68,✅ Safe,2025-08-23 18:46:50
Kostyukovichi,Belarus,53.35,32.05,19.11,Overcast clouds,3.52,✅ Safe,2025-08-23 18:46:51
Pinsk,Belarus,52.1167,26.0833,17.85,Overcast clouds,6.2,⚠ Moderate,2025-08-23 18:46:53
Rechytsa,Belarus,52.35,30.4,20.42,Broken clouds,4.62,✅ Safe,2025-08-23 18:46:55
Slonim,Belarus,53.1,25.3167,17.0,Overcast clouds,3.83,✅ Safe,2025-08-23 18:46:57
Vawkavysk,Belarus,53.15,24.4333,17.74,Overcast clouds,3.34,✅ Safe,2025-08-23 18:46:58
