Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
"Palapo, Sulawesi",Indonesia,-3.0833,120.2333,25.07,Overcast clouds,1.02,✅ Safe,2025-08-23 16:32:49
Palu,Indonesia,-0.8833,119.85,24.54,Overcast clouds,0.84,✅ Safe,2025-08-23 16:32:51
"Pasuruan, Java",Indonesia,-7.6333,112.9,25.94,Overcast clouds,2.73,✅ Safe,2025-08-23 16:32:53
Pelabuhan Badas,Indonesia,-8.45,117.3667,24.45,Scattered clouds,1.63,✅ Safe,2025-08-23 16:32:54
Perawang,Indonesia,1.0667,102.8667,29.3,Scattered clouds,2.41,✅ Safe,2025-08-23 16:32:56
Perawang,Indonesia,0.6333,101.6167,29.84,Scattered clouds,1.09,✅ Safe,2025-08-23 16:32:58
"Plaju, Sumatra",Indonesia,-2.9833,104.8,25.68,Moderate rain,2.08,✅ Safe,2025-08-23 16:33:00
"Pomalaa, Sulawesi",Indonesia,-4.0333,121.5833,22.92,Overcast clouds,1.98,✅ Safe,2025-08-23 16:33:02
Pulau Bunyu,Indonesia,-0.3,115.8667,25.72,Scattered clouds,0.13,✅ Safe,2025-08-23 16:33:04
Pulau Laut,Indonesia,-3.2833,116.15,24.73,Overcast clouds,1.91,✅ Safe,2025-08-23 16:33:06
Ranai,Indonesia,3.9167,108.3833,28.1,Scattered clouds,1.52,✅ Safe,2025-08-23 16:33:07
Sape,Indonesia,-8.5667,118.9833,23.0,Broken clouds,0.97,✅ Safe,2025-08-23 16:33:09
Sekupang,Indonesia,1.1333,103.9333,28.14,Scattered clouds,2.2,✅ Safe,2025-08-23 16:33:11
Semarang,Indonesia,-6.9667,110.4833,29.31,Overcast clouds,3.22,✅ Safe,2025-08-23 16:33:12
Senipah,Indonesia,-0.95,117.15,25.85,Broken clouds,2.79,✅ Safe,2025-08-23 16:33:14
Setagin,Indonesia,-3.2833,116.1667,24.73,Overcast clouds,1.91,✅ Safe,2025-08-23 16:33:16
Sidangoli,Indonesia,0.9,127.4833,23.98,Overcast clouds,1.55,✅ Safe,2025-08-23 16:33:18
