Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Khashmi,Georgia,41.75,45.1667,30.38,Clear sky,4.29,✅ Safe,2025-08-23 16:30:59
Kulevi,Georgia,42.2667,41.6333,30.8,Clear sky,4.4,✅ Safe,2025-08-23 16:31:01
Sukhumi,Georgia,43.0,41.0,31.8,Clear sky,2.1,✅ Safe,2025-08-23 16:31:03
Batumi,Georgia,41.6167547,41.6367455,31.51,Clear sky,1.32,✅ Safe,2025-08-23 16:31:05
Poti,Georgia,42.1582596,41.67137,31.07,Clear sky,4.2,✅ Safe,2025-08-23 16:31:06
Supsa Port,Georgia,42.01667,41.71667,30.74,Clear sky,3.74,✅ Safe,2025-08-23 16:31:08
