Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Yeonpyeongdo,"Korea, Republic of",37.65,125.7,27.51,Clear sky,2.75,✅ Safe,2025-08-23 16:47:18
Yeosu,"Korea, Republic of",34.75,127.7167,28.05,Broken clouds,3.74,✅ Safe,2025-08-23 16:47:20
Yochon,"Korea, Republic of",36.65,128.45,28.11,Scattered clouds,2.01,✅ Safe,2025-08-23 16:47:21
Anjeong,"Korea, Republic of",34.95,128.433,26.91,Clear sky,2.65,✅ Safe,2025-08-23 16:47:23
Busanjin-Gu,"Korea, Republic of",35.15,129.05,28.38,Clear sky,2.43,✅ Safe,2025-08-23 16:47:25
Busan New Port,"Korea, Republic of",35.083,128.817,28.9,Clear sky,2.31,✅ Safe,2025-08-23 16:47:26
Gunpo,"Korea, Republic of",37.333,126.983,29.44,Clear sky,1.28,✅ Safe,2025-08-23 16:47:28
Incheon,"Korea, Republic of",37.45,126.61667,27.48,Clear sky,1.99,✅ Safe,2025-08-23 16:47:30
Okke,"Korea, Republic of",35.907757,127.766922,26.02,Few clouds,0.96,✅ Safe,2025-08-23 16:47:31
Pusan,"Korea, Republic of",35.1,129.03333,28.45,Clear sky,2.87,✅ Safe,2025-08-23 16:47:33
Wonsan,"Korea, Republic of",39.15,127.41667,27.08,Few clouds,1.65,✅ Safe,2025-08-23 16:47:35
