Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Ashuganj,Bangladesh,24.0333,91.0167,27.74,Overcast clouds,7.05,⚠ Moderate,2025-08-23 16:17:23
Benapole,Bangladesh,23.05,88.9,27.55,Overcast clouds,4.47,✅ Safe,2025-08-23 16:17:24
Chattogram,Bangladesh,22.3333,91.8333,27.36,Overcast clouds,7.36,⚠ Moderate,2025-08-23 16:17:26
Munshiganj,Bangladesh,23.5449195,90.5296275,27.84,Overcast clouds,5.68,⚠ Moderate,2025-08-23 16:17:28
Pangaon,Bangladesh,23.65,90.45,27.86,Overcast clouds,5.17,⚠ Moderate,2025-08-23 16:17:29
Payra Port,Bangladesh,21.9333,90.2667,27.7,Light rain,5.91,⚠ Moderate,2025-08-23 16:17:31
Mongla,Bangladesh,22.4942196,89.6016171,27.51,Overcast clouds,4.16,✅ Safe,2025-08-23 16:17:32
