Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Bullenbaai,Curaçao,12.1667,-69.0,30.05,Overcast clouds,7.92,⚠ Moderate,2025-08-23 17:32:19
Caracas Baai,Curaçao,12.0667,-68.85,29.73,Overcast clouds,6.94,⚠ Moderate,2025-08-23 17:32:21
Curacao,Curaçao,12.1667,-69.0,30.05,Overcast clouds,7.92,⚠ Moderate,2025-08-23 17:32:23
Fuikbaai,Curaçao,12.05,-68.8167,30.17,Overcast clouds,6.86,⚠ Moderate,2025-08-23 17:32:24
Sint Michielsbaai,Curaçao,12.15,-68.9833,30.35,Overcast clouds,7.65,⚠ Moderate,2025-08-23 17:32:26
Willemstad,Curaçao,12.1,-68.9167,30.37,Overcast clouds,7.26,⚠ Moderate,2025-08-23 17:32:28
