Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Eginion,Greece,40.4833,22.5833,29.64,Broken clouds,1.55,✅ Safe,2025-08-23 21:22:46
Elaiokhoria,Greece,40.3333,23.1667,29.08,Few clouds,1.97,✅ Safe,2025-08-23 21:22:48
Eleftheres,Greece,40.85,24.3167,27.75,Clear sky,2.5,✅ Safe,2025-08-23 21:22:50
Eleusina,Greece,38.0333,23.5333,31.18,Clear sky,4.58,✅ Safe,2025-08-23 21:22:51
Eleusis,Greece,38.0333,23.5333,31.18,Clear sky,4.58,✅ Safe,2025-08-23 21:22:53
Epidavros,Greece,37.6333,23.15,29.2,Clear sky,0.94,✅ Safe,2025-08-23 21:22:54
Eratini,Greece,38.3667,22.2333,28.4,Clear sky,8.05,⚠ Moderate,2025-08-23 21:22:57
Eretria,Greece,38.4,23.8,30.72,Clear sky,4.01,✅ Safe,2025-08-23 21:22:59
Ermioni,Greece,37.3833,23.25,31.05,Clear sky,3.26,✅ Safe,2025-08-23 21:23:00
Erythres,Greece,38.2167,23.3167,29.0,Clear sky,2.08,✅ Safe,2025-08-23 21:23:02
Eydilos,Greece,37.6333,26.1833,26.58,Clear sky,4.49,✅ Safe,2025-08-23 21:23:04
Fiskardo,Greece,38.45,20.5667,27.03,Clear sky,6.38,⚠ Moderate,2025-08-23 21:23:05
Folegandros,Greece,36.6167,24.95,27.45,Clear sky,4.47,✅ Safe,2025-08-23 21:23:07
Fournoi,Greece,37.5,26.5,26.14,Clear sky,7.35,⚠ Moderate,2025-08-23 21:23:08
Galatas Troizinas,Greece,37.5,23.45,28.9,Clear sky,4.02,✅ Safe,2025-08-23 21:23:10
Gavdos Chanea,Greece,34.85,24.1167,28.83,Clear sky,15.09,⚡ Dangerous,2025-08-23 21:23:12
Gavrion,Greece,37.8833,24.7333,30.19,Clear sky,2.96,✅ Safe,2025-08-23 21:23:14
Glossa,Greece,39.1667,23.6167,25.77,Clear sky,2.31,✅ Safe,2025-08-23 21:23:15
Glyfa Fthiotidas,Greece,38.95,22.9667,29.14,Clear sky,3.21,✅ Safe,2025-08-23 21:23:17
Glyfada,Greece,37.8667,23.75,29.32,Clear sky,5.34,⚠ Moderate,2025-08-23 21:23:19
Gythion,Greece,36.7667,22.5667,30.17,Clear sky,7.48,⚠ Moderate,2025-08-23 21:23:20
Halki Dodekanison,Greece,36.2167,27.6,25.26,Clear sky,7.45,⚠ Moderate,2025-08-23 21:23:22
Herakleia Kykladon,Greece,36.8667,25.4667,27.85,Clear sky,1.83,✅ Safe,2025-08-23 21:23:24
Heraklion (Iraklion),Greece,35.3333,25.1667,29.4,Clear sky,5.06,⚠ Moderate,2025-08-23 21:23:26
