Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Dongguan Pt,China,23.0333,113.75,30.92,Broken clouds,4.86,✅ Safe,2025-08-23 16:19:18
Donghai,China,22.95,115.6333,29.15,Scattered clouds,4.96,✅ Safe,2025-08-23 16:19:20
Dongjiangkou,China,33.6667,108.6667,21.98,Overcast clouds,2.24,✅ Safe,2025-08-23 16:19:21
Dongjiaotou Pt,China,20.3333,110.4167,28.98,Few clouds,2.93,✅ Safe,2025-08-23 16:19:23
Dongping,China,21.7167,112.2167,28.71,Few clouds,7.07,⚠ Moderate,2025-08-23 16:19:24
Dongshi,China,24.6667,118.4667,29.43,Clear sky,2.67,✅ Safe,2025-08-23 16:19:26
Dongxing,China,21.4833,107.9833,29.4,Overcast clouds,2.3,✅ Safe,2025-08-23 16:19:28
Dongying Pt,China,37.4167,118.6833,24.57,Broken clouds,4.36,✅ Safe,2025-08-23 16:19:29
Doumen Pt,China,22.2,113.2833,29.7,Clear sky,6.78,⚠ Moderate,2025-08-23 16:19:31
Ezhou,China,30.4,114.8167,29.48,Clear sky,4.0,✅ Safe,2025-08-23 16:19:32
Fangcheng Pt,China,21.7667,108.35,29.33,Overcast clouds,2.26,✅ Safe,2025-08-23 16:19:33
Fengcheng,China,36.7,121.2333,27.88,Few clouds,3.42,✅ Safe,2025-08-23 16:19:35
Fengkai,China,23.05,112.45,30.56,Light rain,0.82,✅ Safe,2025-08-23 16:19:37
Fujin,China,47.25,132.0333,18.71,Broken clouds,3.77,✅ Safe,2025-08-23 16:19:38
Fuling,China,29.7,107.3333,29.31,Overcast clouds,1.1,✅ Safe,2025-08-23 16:19:40
Fuyong,China,22.65,113.7833,31.07,Few clouds,7.62,⚠ Moderate,2025-08-23 16:19:41
Fuyuan,China,48.35,134.3,13.55,Scattered clouds,2.86,✅ Safe,2025-08-23 16:19:43
Fuzhou,China,26.0833,119.3,27.81,Clear sky,1.49,✅ Safe,2025-08-23 16:19:44
Gaogang,China,32.3,119.85,30.31,Clear sky,0.89,✅ Safe,2025-08-23 16:19:46
Gaolan,China,21.9167,113.25,29.57,Clear sky,10.34,⚡ Dangerous,2025-08-23 16:19:47
Gaolan,China,36.3167,103.9333,23.56,Clear sky,4.85,✅ Safe,2025-08-23 16:19:49
Gaoming Pt,China,22.8833,112.8333,31.13,Light rain,3.03,✅ Safe,2025-08-23 16:19:50
Gongkou,China,23.6333,117.2333,28.31,Scattered clouds,2.95,✅ Safe,2025-08-23 16:19:52
Gongming,China,22.7833,113.8667,30.85,Scattered clouds,6.96,⚠ Moderate,2025-08-23 16:19:53
Gongyi,China,22.25,112.8,29.45,Scattered clouds,4.1,✅ Safe,2025-08-23 16:19:55
Guanghai Pt,China,21.9667,112.8,29.46,Clear sky,6.19,⚠ Moderate,2025-08-23 16:19:56
Guangzhou,China,23.1333,113.2333,31.81,Light rain,2.71,✅ Safe,2025-08-23 16:19:58
Guigang,China,23.1,109.6,30.39,Clear sky,1.73,✅ Safe,2025-08-23 16:19:59
Guilin,China,25.2667,110.2833,30.29,Overcast clouds,1.03,✅ Safe,2025-08-23 16:20:01
Guishan,China,22.1333,113.8167,30.9,Light rain,10.49,⚡ Dangerous,2025-08-23 16:20:02
Guzhen,China,22.6,113.1667,30.93,Scattered clouds,5.99,⚠ Moderate,2025-08-23 16:20:04
Haikou,China,20.0333,110.3333,28.65,Few clouds,2.17,✅ Safe,2025-08-23 16:20:05
Haikou New Pt,China,20.25,108.8333,29.0,Few clouds,1.74,✅ Safe,2025-08-23 16:20:07
Haikou Pt,China,20.0333,110.1667,28.94,Clear sky,1.46,✅ Safe,2025-08-23 16:20:08
Haimen,China,28.6667,121.4333,28.02,Clear sky,3.15,✅ Safe,2025-08-23 16:20:10
Harbin,China,45.7333,126.6,23.73,Overcast clouds,2.63,✅ Safe,2025-08-23 16:20:12
Hebei,China,39.8833,115.2667,15.18,Moderate rain,2.44,✅ Safe,2025-08-23 16:20:13
Heihe,China,50.2333,127.4833,17.6,Overcast clouds,1.88,✅ Safe,2025-08-23 16:20:15
Heishantou,China,50.2,119.3833,14.34,Overcast clouds,3.64,✅ Safe,2025-08-23 16:20:17
Hengban,China,22.2,112.3167,28.32,Scattered clouds,2.51,✅ Safe,2025-08-23 16:20:18
Hengli,China,23.1667,114.6167,30.14,Scattered clouds,2.74,✅ Safe,2025-08-23 16:20:20
Heshan Pt,China,22.7667,112.95,30.99,Light rain,4.83,✅ Safe,2025-08-23 16:20:21
Hetang,China,22.65,113.1333,31.01,Scattered clouds,6.05,⚠ Moderate,2025-08-23 16:20:23
Honghai Pt,China,23.1667,114.2667,30.22,Broken clouds,1.94,✅ Safe,2025-08-23 16:20:24
Houjie,China,22.9333,113.6333,31.04,Broken clouds,6.72,⚠ Moderate,2025-08-23 16:20:26
Houzhu,China,24.8833,118.6667,28.12,Few clouds,1.22,✅ Safe,2025-08-23 16:20:27
Huachuan,China,47.0167,130.7,19.47,Overcast clouds,3.41,✅ Safe,2025-08-23 16:20:29
Huaiji,China,23.05,112.45,30.56,Light rain,0.82,✅ Safe,2025-08-23 16:20:31
Huailai,China,40.3667,115.5,17.2,Moderate rain,2.38,✅ Safe,2025-08-23 16:20:33
Huaiyin,China,33.6333,119.0167,27.94,Clear sky,3.66,✅ Safe,2025-08-23 16:20:34
