Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Tisnov,Czechia,49.35,16.4333,18.08,Scattered clouds,4.79,✅ Safe,2025-08-23 18:50:07
Touzim,Czechia,50.0667,12.9833,14.51,Overcast clouds,5.39,⚠ Moderate,2025-08-23 18:50:08
Tuchomerice,Czechia,50.1333,14.2833,16.39,Overcast clouds,6.65,⚠ Moderate,2025-08-23 18:50:10
Usti nad Labem,Czechia,50.6667,14.0333,16.2,Overcast clouds,3.73,✅ Safe,2025-08-23 18:50:11
Veverska Bityska,Czechia,49.2833,16.45,18.06,Scattered clouds,5.04,⚠ Moderate,2025-08-23 18:50:13
Babice,Czechia,48.983,16.4,18.84,Overcast clouds,6.93,⚠ Moderate,2025-08-23 18:50:14
Cepi,Czechia,49.983,15.7,17.61,Broken clouds,7.77,⚠ Moderate,2025-08-23 18:50:15
Smilovice,Czechia,49.667,18.583,16.29,Overcast clouds,4.29,✅ Safe,2025-08-23 18:50:17
Hluk,Czechia,48.983,17.517,18.55,Overcast clouds,5.44,⚠ Moderate,2025-08-23 18:50:18
Kostelec nad Labem,Czechia,50.233,14.6,17.43,Overcast clouds,5.85,⚠ Moderate,2025-08-23 18:50:20
Milotice nad Becvou,Czechia,49.533,17.833,17.3,Overcast clouds,6.78,⚠ Moderate,2025-08-23 18:50:21
Neratovice,Czechia,50.267,14.517,17.35,Overcast clouds,5.64,⚠ Moderate,2025-08-23 18:50:23
Odolena Voda,Czechia,50.2334147,14.4107891,17.01,Overcast clouds,5.62,⚠ Moderate,2025-08-23 18:50:25
Plana u Marianskych Lazni,Czechia,49.867,12.75,15.62,Overcast clouds,5.75,⚠ Moderate,2025-08-23 18:50:26
Polna,Czechia,49.333,15.717,16.34,Broken clouds,6.11,⚠ Moderate,2025-08-23 18:50:27
Stechovice,Czechia,49.85,14.4,16.84,Overcast clouds,4.9,✅ Safe,2025-08-23 18:50:29
Steti,Czechia,50.45,14.383,17.13,Light rain,5.6,⚠ Moderate,2025-08-23 18:50:31
Blatna,Czechia,49.424893,13.8817644,16.25,Overcast clouds,5.69,⚠ Moderate,2025-08-23 18:50:32
Trnavka,Czechia,50.033,15.467,17.7,Scattered clouds,7.88,⚠ Moderate,2025-08-23 18:50:33
