Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Oracabessa,Jamaica,18.4,-76.95,28.3,Overcast clouds,4.74,✅ Safe,2025-08-23 17:34:37
Port Henderson,Jamaica,17.95,-76.8833,28.51,Overcast clouds,1.77,✅ Safe,2025-08-23 17:34:38
Saint Ann's Bay,Jamaica,18.4333,-77.2,28.44,Overcast clouds,6.26,⚠ Moderate,2025-08-23 17:34:40
Savanna-la-Mar,Jamaica,18.164209,-77.947998,23.26,Overcast clouds,1.96,✅ Safe,2025-08-23 17:34:41
Kingston,Jamaica,18.0178743,-76.8099041,29.59,Overcast clouds,1.24,✅ Safe,2025-08-23 17:34:43
Montego Bay,Jamaica,18.4762228,-77.8938895,26.19,Overcast clouds,2.89,✅ Safe,2025-08-23 17:34:44
